연번,제목,날짜,글 내용,댓글 내용
798,로아 랑 배그 QHD로 144 프레임 이상 나오는걸 원하는데,2024.06.26 19:32,일단 아무거나 집어 넣고 봤는데 뭔가를 바꿔야할지 벌써부터 막막하네요...,"안녕하세요, 신뢰을 조립하는 컴퓨티파이 입니다! 고민 중이신 견적 확인하였습니다. 컴퓨터를 정말 좋아해서 모인 컴퓨티파이답게 내가 집에서 사용할 피씨 조립한다는 생각으로 하나씩 조립해가고 있습니다 AMD 라이젠 """" 7500F + RTX 4070 SUPER """" 구성으로 권장 드려용 !! 고려 중이신 예산으로 사용 용도를 견적을 구성하였습니다. 고민 해보시구 언제든 카톡 주시면 친절하게 안내 드리겠습니다! 이미지 카테고리 상품명 수량 가격 합계 || 안녕하세요 퀘이사존 공식후원사 피씨팩토리입니다. 견적서 및 답변내용은 v 펼치기를 통해 확인할 수 있습니다. ----------------------- 답변내용 ------------------------ * 아무거나 넣은거치곤 전체적으로 잘 구성하신 편입니다. 메인보드는 가성비 보드로 변경해드렸고 메모리는 좀더 저렴하지만 같은하이닉스 칩을 사용하는 에센코어 메모리로 구성했습니다. 파워또한 700w로 충분하여 아래같이 견적 구성해드렸습니다. 다른 궁금하신 점은 아래 실시간 카카오톡 상담을 통해 진행하시면 빠른 상담이 가능하고 구매나 부품 수정을 원할 경우 빨간색 구매하기 버튼을 통해 진행 가능합니다."
799,견적 평가랑 그래픽카드 추천좀 해주세요,2024.06.26 19:24,최대한 110정도 안쪽으로 견적 짜봤는데 그래픽카드는 다른거 뭘써야할지모르겠어서 엔비디아 그래픽카드중 하나로 추천 부탁드리겠습니다. 가격은 +3~5만정도 생각하고있습니다.,"안녕하세요 퀘이사존 공식후원사 피씨팩토리입니다. 견적서 및 답변내용은 v 펼치기를 통해 확인할 수 있습니다. ----------------------- 답변내용 ------------------------ * 비슷한 예산대로 5600 + 4060 조합으로 구성해봤습니다. 다른 궁금하신 점은 아래 실시간 카카오톡 상담을 통해 진행하시면 빠른 상담이 가능하고 구매나 부품 수정을 원할 경우 빨간색 구매하기 버튼을 통해 진행 가능합니다. > || 안녕하세요, 신뢰을 조립하는 컴퓨티파이 입니다! 고민 중이신 견적 확인하였습니다. 컴퓨터를 정말 좋아해서 모인 컴퓨티파이답게 내가 집에서 사용할 피씨 조립한다는 생각으로 하나씩 조립해가고 있습니다 AMD 라이젠 """" 5600 + RX 7600 """" 구성으로 권장 드려용 !! 고려 중이신 예산으로 사용 용도를 견적을 구성하였습니다. 고민 해보시구 언제든 카톡 주시면 친절하게 안내 드리겠습니다! 이미지 카테고리 상품명 수량 가격 합계"
800,군바리 전역 기념 컴퓨터 견적 부탁드립니다,2024.06.26 19:12,"몇 년 전까지는 이쪽에 관심이 많았는데 어느순간부터 신경끄고 살다 10월 초에 전역을 계기로 컴퓨터를 하나 장만하려고 다시 알아보고 있습니다. 컴퓨터 관련한 장비(모니터 마우스 등)이 아예 없는 상황이라 이거까지 모두 고려해서 300만원 내외 생각 중입니다. 용도는 크게 게임, 영상편집(프리미어프로, 애프터 이펙트), 포토샵, 작곡입니다. 게임은 레드 데드 리뎀션2, GTA 6, 엘든링과 같은 AAA게임들도 할 것 같아서 중상옵 이상이 원활하게 돌아갔으면 하네요. 조립은 유튜브 보면서 따라할 수 있을 것 같고 모니터는 가능하면 QHD로 맞추고 싶어요. 디자인에는 크게 신경쓰지 않는 편이라 케이스는 깔끔한 무광 검은색 계열이면 상관없을 것 같습니다. 스피커, 마우스, 키보드와 같은 장비도 함께 포함한 견적으로 부탁드려요, 손 사이즈는 일반 남성보다 조금 큰 편입니다. G903썼었는데 새끼손가락이 조금 불편했던 경험이 있네요. 가능하다면 마우스랑 키보드는 같은 회사로 맞추고 싶습니다. 추가로 윈도우 11은 어떤지 알고 싶습니다, 생산성이랑 효율성을 중요시하는데 이쪽 부분에서 윈도우 10보다 나은 점이 많을지 알고 싶네요, 제가 사용하는 프로그램들이랑 호환성이 잘 맞는지도 궁금하고요.",안녕하세요 퀘이사존 공식후원사 피씨팩토리입니다. 견적서 및 답변내용은 v 펼치기를 통해 확인할 수 있습니다. ----------------------- 답변내용 ------------------------ * 78x3d + 4080 super 구성으로 추천드립니다. 해당 구성들이면 qhd 환경에서 깔끔하게 플레이 가능하실겁니다. 다른 궁금하신 점은 아래 실시간 카카오톡 상담을 통해 진행하시면 빠른 상담이 가능하고 구매나 부품 수정을 원할 경우 빨간색 구매하기 버튼을 통해 진행 가능합니다. || 고생 많으셨습니다 전역 축하 드립니다 !!
801,그래픽카드 바꾸려는데 체감이 될까요?,2024.06.26 19:10,오버워치랑 디아4 요정도 하는데 g싱크 모니터 144 쓰는데 오버워치 프레임이 100간당간당하게 돌아가네요 디아도 너무 끊기고 지포스 익스피리언스도 삭제하고 사용하고있어요 그래픽카드를 바꾸는게 체감이 될지 모르겠습니다. 50장 정도 선에서 체감될만큼 바꿀 부분이있을까요? 퀘이사존,고려중이신 예산대라면 그래픽카드 변경을 고려하시게될 것 같은데요! 메인보드가 PCI 3.0이라 어느정도 성능저하는 있겠지만 1070에서 업그레이드를 하시기에 큰 체감이 되실 것 같습니다. || 현재 사용 중 컴퓨터는 당근하시고 새롭게 구매하는 편으로 권장 드려용
802,추후 9000번 3D모델때 견적질문입니다,2024.06.26 19:08,시퓨쿨러가 짤렸는대 Z06D넣었습니다 제목그대로 9000번 3D모델 출시때 컴퓨터교체하려고합니다 그래픽카드 4070ti 추후 업그레이드 ssd sn850x 2TB 기존쓰던거 그대로사용 그래픽카드는 추후업그레이드생각해서 파워를 넉넉히넣었습니다 120미리팬은 쿨러팬+후면팬교체 140미리는 케이스하단배치 하려고합니다 원래 X670E 하급~미들급보드가려다 SSD도 여러개안쓰니 B650보드에 램을 32기가에서 48기가로올렸습니다 듀얼모니터로 34인치 UWQHD에 16인치 포터블모니터 34인치에 메인겜띄워놓고 포터블모니터로 크롬탭7~8개 띄우고 앱플레이어 한개로 폰겜숙제 이정도가 활용입니다 혹시 보드를 더싼모델로 가거나 램을 그냥 32기가로 줄이거나 해서 예산을 절약하는게 나을지 여쭤봅니다,To. user_419103 님 안녕하세요. 견적 구성은 굉장히 잘 하셨습니다. 다만 수정할 부분이 있어서 해당 부분을 보완하시는 편을 권장드리고싶어용 CPU가 아직 출시하지 않아 확답을 드리기는 어렵지만 윤곽을 잡는데 필요하다면 다음과 같이 추천드리는 편이에요 From. 퀘이사존 공식 후원사 팜피씨샵 견적에 대해 궁금하신 점과 부품 변경을 원하시면 아래 카카오톡으로 채팅 남겨주세요! https://pf.kakao.com/_epfZb || 라이젠 9000 시리즈 출시 하면 메인보드도 가성비 좋은 제품도 새롭게 출시 하기 때문에 출시 날짜에 맞춰서 구매 권장 드려요
803,200에서230사이 본체 견적좀 부탁드립니다..,2024.06.26 19:06,안녕하세요. 이번에 컴퓨터를 너무 오래써서 새로 맞추고싶어 이렇게 글을 남깁니다. 고사양 게이밍 컴퓨터를 맞추고 싶은데 본체에들어갈수 있는 자본이 200~230정도밖에 없네용.. 스팀의 엘든링 배그등을 많이하고 앞으로 나올 스토리게임이나 블랙오공.팬텀 블레이드 구매예정 입니다. 고수분들의 고견좀 부탁드립니다. 추가로 이참에 모니터도 괜찮은걸로 맞추고싶은데 본체견적빼고20~60사이에서 추천좀 부탁드립니다.,"모니터의 크기는 몇인치 정도로 고려중이실까요? || 안녕하세요, 신뢰을 조립하는 컴퓨티파이 입니다! 고민 중이신 견적 확인하였습니다. 컴퓨터를 정말 좋아해서 모인 컴퓨티파이답게 내가 집에서 사용할 피씨 조립한다는 생각으로 하나씩 조립해가고 있습니다 고려 중이신 예산으로 사용 용도를 견적을 구성하였습니다. 고민 해보시구 언제든 카톡 주시면 친절하게 안내 드리겠습니다! 이미지 카테고리 상품명 수량 가격 합계 CPU AMD 라이젠7-5세대 7800X3D (라파엘) (멀티팩(정품)) 1 542,120원 542,120원"
804,200에서230사이 본체 견적좀 부탁드립니다..,2024.06.26 19:06,안녕하세요. 이번에 컴퓨터를 너무 오래써서 새로 맞추고싶어 이렇게 글을 남깁니다. 고사양 게이밍 컴퓨터를 맞추고 싶은데 본체에들어갈수 있는 자본이 200~230정도밖에 없네용.. 스팀의 엘든링 배그등을 많이하고 앞으로 나올 스토리게임이나 블랙오공.팬텀 블레이드 구매예정 입니다. 고수분들의 고견좀 부탁드립니다. 추가로 이참에 모니터도 괜찮은걸로 맞추고싶은데 본체견적빼고20~60사이에서 추천좀 부탁드립니다.,"모니터의 크기는 몇인치 정도로 고려중이실까요? || 안녕하세요, 신뢰을 조립하는 컴퓨티파이 입니다! 고민 중이신 견적 확인하였습니다. 컴퓨터를 정말 좋아해서 모인 컴퓨티파이답게 내가 집에서 사용할 피씨 조립한다는 생각으로 하나씩 조립해가고 있습니다 고려 중이신 예산으로 사용 용도를 견적을 구성하였습니다. 고민 해보시구 언제든 카톡 주시면 친절하게 안내 드리겠습니다! 이미지 카테고리 상품명 수량 가격 합계 CPU AMD 라이젠7-5세대 7800X3D (라파엘) (멀티팩(정품)) 1 542,120원 542,120원"
805,컴퓨터 견적좀 짜주시길 부탁드립니다,2024.06.26 19:02,"예산은 70만원대로 롤과 로아,워크래프트만 하는용도로 살려고합니다","예산을 100만원정도로 늘려주시면 조금 더 여유롭게 구성이 가능할 것 같은데요! 말씀해주신 에산대라면 5600 + RX6600 구성이 최선일 것 같습니다 ㅠㅠ 이미지 카테고리 상품명 수량 가격 합계 CPU AMD 라이젠5-4세대 5600 (버미어) (멀티팩(정품)) 1 136,710원 136,710원 메모리 TeamGroup DDR4 8G PC4-25600 Elite 2 20,700원 41,400원 메인보드 ASUS PRIME A520M-A II 대원CTS 1 86,000원 86,000원 || 안녕하세요 퀘이사존 공식후원사 피씨팩토리입니다. 견적서 및 답변내용은 v 펼치기를 통해 확인할 수 있습니다. ----------------------- 답변내용 ------------------------ * 5600 + rx 6600 구성으로 가능합니다. 다른 궁금하신 점은 아래 실시간 카카오톡 상담을 통해 진행하시면 빠른 상담이 가능하고 구매나 부품 수정을 원할 경우 빨간색 구매하기 버튼을 통해 진행 가능합니다."
806,asus b650m-a-II XMP 램 추천 부탁드립니다,2024.06.26 18:51,"7500f asua b650m-a-II asus dual rtx 4060 견적 생각하고 있습니다 인터넷 찾아보다 보니 7500f 에서 5600이상 인식이 안되는 오류? 가 있다는 이야기가 좀 많이 보이던데, 컴맹이라 무슨 말인지 잘 모르겠습니다.... a다이 ? 뭐 그런것도 확인해야한다해서 qvl 리스트 들어가봤는데 어떻게 보는지도 잘 모르겠어요 ㅠㅠ 처음에는 팀그룹 5600mhz cl30 사려고했는데 어떤 분은 7500f 기본 클럭이 5600이니 시금치 가던가 6000으로 더 높이라는 분도 계셔서요,,,, 저는 오버는 안하고 쓸거라 xmp 램으로 사고 싶어요 헤비 게이머도 아니고 게임도 옵치 배그 그타 정도만 합니다 적당히 괜찮은 xmp 램 추천 부탁드려도 될까요 ?",안녕하세요 퀘이사존 공식후원사 피씨팩토리입니다. 견적서 및 답변내용은 v 펼치기를 통해 확인할 수 있습니다. ----------------------- 답변내용 ------------------------ * 7500F + RTX 4060 TI 정도로 구성을 하시는거라면 XMP 메모리는 SK하이닉스 A다이 언락 제품으로 구성이 현재 가장 고수율 이기 때문에 안정성이나 오류 면에서도 덜하다고 생각하시면 됩니다 ^^ 하이닉스 A다이 언락 제품인 ADATA XPG DDR5-6000 CL30 LANCER RGB 블랙 패키지 추천드립니다 ^^ || To. user_973717 님 안녕하세요. 고려중이신 예산과 사용 용도를 기반으로 조립 서비스까지 포함하여 견적을 구성하였습니다. 메모리 부분은 게이밍 프레임 향상을 위해 EXPO / XMP 튜닝램으로 구매하시는 경우라면 6000클럭 이상 제품 기준 SK 하이닉스 칩셋을 이용한 제품으로 추천드립니다 DDR5 메모리 기준 EXPO / XMP 적용하여 사용하시는 경우라면 하이닉스 칩셋을 사용한 메모리가 불량률도 낮고 호환성이 좋으며 안정성도 높은 부분이라 SK하이닉스 칩셋을 사용한 ESSENCORE 메모리로 구성하시는 편을 추천드립니다 From. 퀘이사존 공식 후원사 팜피씨샵 견적에 대해 궁금하신 점과 부품 변경을 원하시면 아래 카카오톡으로 채팅 남겨주세요!
807,7800x3d 4070ti super 견적,2024.06.26 18:51,게이밍으로 견적 짜보았습니다,안녕하세요 퀘이사존 공식후원사 피씨팩토리입니다. 견적서 및 답변내용은 v 펼치기를 통해 확인할 수 있습니다. ----------------------- 답변내용 ------------------------ * 화이트 구성으로 구성을 하신 부분 이실까요? 화이트 구성이 아니라면 성능 위주로 구성을 하였을때 조금 더 가성비 있는 견적으로 사용이 가능 해보입니다 ^^ 아래 추천견적 남겨드릴게요~ || 안녕하세요 남겨주신 구성상 호환 문제는 없을 것으로 판단되네요
808,조립 견적 및 호환성 체크 부탁드립니다,2024.06.26 18:42,3RSYS Socoool RC1900 ARGB 7900x b650 mag 토마호크 그래픽 이엠텍 4070supe miracle x3 sk 하이니스 p31 nvme 2tb 시소닉 NEW FOCUS GX-850 GOLD 풀모듈러 ATX3.0 bravotec 3100m v2 위 사양으로 견적 및 호환성 체크 부탁드립니다,To. 우에잉 님 안녕하세요. 견적 구성은 굉장히 잘 하셨습니다. 다만 수정할 부분이 있어서 해당 부분을 보완하시는 편을 권장드리고싶어용 CPU의 발열이 낮은 모델이 아닌지라 더욱 안정적인 사용을 위해서라도 CPU 쿨러의 체급을 더 높여 구성하시거나 해당 쿨러로 커버가 가능한 CPU로 변경하는 편을 적극 추천드립니다! Thermalright Peerless Assassin 120 SE 라인업이 현재 듀얼타워 공냉쿨러 제품 중 준수한 성능을 가지고있으면서 현재 할인을 진행하고있다보니 구매할 메리트가 정말 커진 상황이라 기존에 구성하신 CPU쿨러로 선택하신 특별한 사유가 있거나 디자인이 마음에 드시는 경우가 아니라면 변경하여 구매하시는 쪽을 권장드립니다 || 안녕하세요 퀘이사존 공식후원사 피씨팩토리입니다. 견적서 및 답변내용은 v 펼치기를 통해 확인할 수 있습니다. ----------------------- 답변내용 ------------------------ * 사용하시는 용도와 최대예산은 얼마일까요? 게임용 견적으로 구성을 하시는거라면 AMD 라이젠 7800X3D + RTX 4070 SUPER 로 구성을 하시면 좋을 듯 하고 3D 모델링이나 렌더 작업을 하시는거라면
809,조립 견적 및 호환성 체크 부탁드립니다,2024.06.26 18:42,3RSYS Socoool RC1900 ARGB 7900x b650 mag 토마호크 그래픽 이엠텍 4070supe miracle x3 sk 하이니스 p31 nvme 2tb 시소닉 NEW FOCUS GX-850 GOLD 풀모듈러 ATX3.0 bravotec 3100m v2 위 사양으로 견적 및 호환성 체크 부탁드립니다,안녕하세요 퀘이사존 공식후원사 피씨팩토리입니다. 견적서 및 답변내용은 v 펼치기를 통해 확인할 수 있습니다. ----------------------- 답변내용 ------------------------ * 사용하시는 용도와 최대예산은 얼마일까요? 게임용 견적으로 구성을 하시는거라면 AMD 라이젠 7800X3D + RTX 4070 SUPER 로 구성을 하시면 좋을 듯 하고 3D 모델링이나 렌더 작업을 하시는거라면 || To. 우에잉 님 안녕하세요. 견적 구성은 굉장히 잘 하셨습니다. 다만 수정할 부분이 있어서 해당 부분을 보완하시는 편을 권장드리고싶어용 CPU의 발열이 낮은 모델이 아닌지라 더욱 안정적인 사용을 위해서라도 CPU 쿨러의 체급을 더 높여 구성하시거나 해당 쿨러로 커버가 가능한 CPU로 변경하는 편을 적극 추천드립니다! Thermalright Peerless Assassin 120 SE 라인업이 현재 듀얼타워 공냉쿨러 제품 중 준수한 성능을 가지고있으면서 현재 할인을 진행하고있다보니 구매할 메리트가 정말 커진 상황이라 기존에 구성하신 CPU쿨러로 선택하신 특별한 사유가 있거나 디자인이 마음에 드시는 경우가 아니라면 변경하여 구매하시는 쪽을 권장드립니다
810,컴알못 게이밍 pc견적 부탁드립니다!!,2024.06.26 18:35,"OS Windows 10 or 11 64bit / 안드로이드 7 이상 / iOS 15 CPU intel i7 (9th Gen) / Ryzen 3700 램 16GB and Above 하드 30GB and Above 그래픽 GTX 2060 / RX 5700XT and Above 게임 ""명조 : 워더링 웨이브"" 권장사양인데 렉 없이 풀옵으로 돌아갈수 있게 견적 추천 좀 부탁드립니다.. 최대 예산은 모니터 포함 150 입니다!! 모니터도 바꿔야하는데 27인치 중에 최소 140hz 이상으로 괜찮은 모니터도 같이 추천해주시면 감사드리겠습니다!! 항상 친절한 답변 감사드립니다","To. user_762987 님 안녕하세요. 고려중이신 예산과 사용 용도를 기반으로 조립 서비스까지 포함하여 견적을 구성하였습니다. 해당 예산 기반이라면 8코어 CPU인 라이젠 5700X3D + RTX 4060 Ti 조합으로 구매하시는 편을 추천드립니다 메모리 부분은 SK 하이닉스 해외 자회사인 ESSENCORE 사 제품으로 구성하면 호환에 문제없습니다 DDR4 규격이 12년도부터 상용화되었으며, 3200클럭 메모리가 19년도부터 널리 사용되었던지라 출시한지 이미 오랜 시간을 거쳐 안정화가 진행되었습니다 지나치게 저렴한 라인업이나 특정 제품이 아니라면 SK 하이닉스 해외 자회사인 ESSENCORE 사 제품은 문제없으니 그대로 구성해도 괜찮습니다 From. 퀘이사존 공식 후원사 팜피씨샵 || 본체 구성은 7500F + RTX4060 정도로 구성을 해주시고 이외 금액으로 모니터 특가를 노려보시면 좋을 것 같습니다! FHD 정도로 봐주시면 적합할 것 같네요! 모니터는 가능하시다면 대기업 모니터로 추천을 드립니다! 그 이유로는 무엇보다 출장AS가 가능하다는 부분이 있습니다. -------------------- 아래 카카오톡 채널으로 문의를 남겨주시면 더 자세하게 견적상담을 드리도록 하겠습니다! 카카오채널: https://pf.kakao.com/_ErDGxj / 웹사이트 : 08dragon.com 이미지 카테고리 상품명 수량 가격 합계"
811,상황에 맞는 AI 학습 서버 견적 요청드립니다.,2024.06.26 18:32,"AI 학습 서버 견적이 필요한데, 다중 GPU 견적을 내기가 어려워 요청드립니다. ㅠㅠ CPU는 거의 사용하지 않아서 8코어 이상이면 됩니다. 다만 GPU 대역폭을 전부 활용하기 위해서 아마 쓰레드리퍼나.. 제온 고려 하고 있습니다. 램은 128기가에 SSD는 2테라 2개, GPU의 경우에는 4090 3장 생각중입니다. 다만 현재 보유중인 3090 두장 추가로 장착도 염두해서 견적 부탁드립니다. 가급적 1300만원 내에서 견적이 나왔으면 합니다..ㅠ 감사합니다.",해당 구성이라면 RTX 4090 BLOWER 타입으로 구해야 하는데 지금 시장에 재고가 있을 지 모르겠습니다.. 가지고 계신 RTX 3090 제품명이 정확히 어떻게 되실까요? 일단 BLOWER 타입 말고 일반 4090 3장만 넣어도 860~870 가량 나오긴 합니다..ㅠㅠ 이미지 구분 상품명 할인가 판매가 수량 합계 || 해당 구성이라면 RTX 4090 BLOWER 타입으로 구해야 하는데 지금 시장에 재고가 있을 지 모르겠습니다.. 가지고 계신 RTX 3090 제품명이 정확히 어떻게 되실까요? 일단 BLOWER 타입 말고 일반 4090 3장만 넣어도 860~870 가량 나오긴 합니다..ㅠㅠ 이미지 구분 상품명 할인가 판매가 수량 합계
812,3080ti 견적 부탁드립니다.,2024.06.26 18:31,"현재 사용중인 컴퓨터 사양은 이렇습니다. 모니터- 삼성 오디세이 G5 34인치 QHD CPU-10700F 램- 크루셜 발리스틱 16기가*2 보드- msi B460M Wifi 파워- 세고탭 GM1250W 글카- 3080ti 쿨러- 3R SYS RC 400 여기에서 재활용 가능한 부품들 쓰면서 새로 맞추려고 하는데 추천부탁드립니다! 게임 위주라 AMD로 넘어가도 괜찮을듯 합니다. 주로 하는게임 배그, 블랙스쿼드, 헬다이버즈 예산 100 이내",안녕하세요 퀘이사존 공식후원사 피씨팩토리입니다. 견적서 및 답변내용은 v 펼치기를 통해 확인할 수 있습니다. ----------------------- 답변내용 ------------------------ * 추후 그래픽카드 업그레이드 예정이 없으시다면 파워 + 그래픽카드 정도를 가져가시면 좋을 듯하고 추천견적은 AMD 라이젠 7800X3D 반본체 구성을 하셔서 그래픽카드 끼워주시는 부분을 추천드립니다 ^^ 다른 궁금하신 점은 아래 실시간 카카오톡 상담을 통해 진행하시면 빠른 상담이 가능하고 || To. user_973837 님 안녕하세요. 고려중이신 예산과 사용 용도를 기반으로 조립 서비스까지 포함하여 견적을 구성하였습니다. 해당 예산 기반이라면 조금 더 초과하더라도 라이젠 7800X3D로 추천드립니다 DDR5 메모리 기준 EXPO / XMP 적용 없이 순정 상태로 사용하시는 경우라면 하이닉스 칩셋을 사용한 메모리가 불량률도 낮고 호환성이 좋으며 안정성도 높은 부분이라 SK하이닉스 칩셋을 사용한 ESSENCORE / PATRIOT / TeamGroup / GEIL (SK하이닉스 선별 제품) 사 메모리로 구성하시는 편을 추천드립니다 From. 퀘이사존 공식 후원사 팜피씨샵 저희 측으로 가지고계신 제품을 보내주시면 장착 및 테스트까지 완료해서 출고 도와드리고 있으니 구매에 참고 부탁드립니다~!
813,"안녕하세요, 조언 구하려고 합니다",2024.06.26 18:22,"안녕하세요. 견적때문에 고민중이라서 조언을 구하려고 합니다 맞출 예정은 빠르면 7월 늦으면 9~10월 예정이고 현재 고민중인 견적은 아래입니다. 보유중인 부품 : 아래 견적에서 SSD / DDR4 메모리 / 그래픽카드(예정)는 보유중입니다. 모니터는 27인치 fhd 100hz 보유중입니다. / 추후 듀얼(24 or 27인치 100hz) 일반 2060 그래픽카드 전달 받을 예정입니다. 구매예정부품 ↓ CPU : 5600 or 5600x or 5700x3d (알리) 구매예정 쿨러 : 쿨러 구매예정 M/B : 메인보드 고민입니다 둘 중 하나 사야하는데 B550 사게되면 알리에서 구매예정입니다. 케이스 : 통풍 잘되는 적당한 미들타워 파워 : 600~800W 주용도 - 배그(국민옵션) 적당하게 / 롤 / 방송(obs) + 버추얼 / 마크 등 질문 - 배그를 하려고 하는데 가성비 cpu 추천 부탁드립니다 (알리에서 구매할수도 있음) - 5700X3D나 5600X 5600을 쓸 시 버틸만한 메인보드가 아래 모델 둘 다 괜찮은지요? 주 용도는 배그(국민옵션), 방송, 롤, 마크 등입니다. - 2060에서 추후에 4060이런거로 업글하려고 하는데 파워 700정도로 괜찮을까요? - 가성비 제품도 추천 부탁드립니다 감사합니다.","5700X3D가 그냥 압도적입니다. || To. 서프트 님 안녕하세요. 견적 구성은 굉장히 잘 하셨습니다. 다만 수정할 부분이 있어서 해당 부분을 보완하시는 편을 권장드리고싶어용 메모리 부분은 SK 하이닉스 해외 자회사인 ESSENCORE 사 제품으로 구성하면 호환에 문제없습니다 DDR4 규격이 12년도부터 상용화되었으며, 3200클럭 메모리가 19년도부터 널리 사용되었던지라 출시한지 이미 오랜 시간을 거쳐 안정화가 진행되었습니다 지나치게 저렴한 라인업이나 특정 제품이 아니라면 SK 하이닉스 해외 자회사인 ESSENCORE 사 제품은 문제없으니 그대로 구성해도 괜찮습니다 반대로 현재 추가되어있는 SSD는 QLC 기반의 제품으로 확인되는데 상대적으로 안정적이지 못하다 보고있습니다 그렇다보니 안정적인 사용을 위해서라도 디램이 있으며 TLC 기반 이상인 SSD로 선회하시는 편을 권장드릴게요"
814,ITX 최대한 저발열로 조립하려 합니다. 견적조언 부탁드립니다.,2024.06.26 18:16,"안녕하세요. 엘든링, 검사, 발더게3 등 RPG와 스팀게임을 좋아하는 사람입니다. 현재 사용하는 PC사양은 대충 i7-12세대/32GB DDR4/ GPU RTX3080ti/ MB B760 (M-atx)/ 750W에 쿨러는 공랭 CPU팬 75mm 정도입니다. 케이스는 존스보 M-ATX 풀 알루미늄바디를 쓰고요, 국외파견을 앞두고 있어 게이밍 노트북을 살지 아니면 itx PC를 맞춰서 들고갈지를 고민하고 있었는데 친구가 빌려준 레이저 블레이드 노트북을 써보니 고성능 노트북도 장시간 발열은 잘 못잡는구나 싶더군요. 그래서 ITX를 맞춰갈까 하는데 역시나 발열이 고민입니다. 오랜시간 게임하다 보면 과열로 PC가 꺼지는 일이 가끔씩 있었는데 m-atx에서도 생기던 발열문제가 itx에서는 어떨지 걱정이 되더라고요. 이전까지 안정성 이슈로 인텔 CPU만을 고집해왔습니다만 발열문제를 해결할수 있다면 이번기회에 AMD로 갈아탈 생각도 하고있습니다. 일단 생각하는 스펙은 CPU: i7~i9 14세대, (벌크, 병행수입, 오버클럭 안함) RAM: 64~128GB DDR5 (6000mhz 이상) MB: Z790m-itx (wifi포함) GPU: RTX4070ti **보드랑 글카는 되도록 같은 회사로 맞추고 싶어욥 SSD: 2~4T 파워: 750w (이 이상 필요할까요?) 케이스: [Fractal Design의 Terra] 혹은 [JONSBO의 V11]입니다. 생각하는 가격대는 350~400 정도고요. 쿨러는 무조건 공랭입니다. (수랭은 관리도 어렵고 이동할때 혹시 파손될까봐 걱정되서 못달겠어욥...) 국외로 4년이상 나가있을 예정이라 현지에서 PC맞추는것도 생각해봤지만 생각보다 원활한 부품수급이 어려울듯 하여 결정하였습니다. 혹시 견적 짜는것을 도와주실수 있으실까요? 성능을 너무 포기하지 않으면서 최대한 발열이 적었으면 합니다. (컴퓨터를 잘 모르는 편이라 언더볼팅은 염두에 두고 있지 않습니다..) ITX를 사용하고 계시거나 조립해보신 고수님들의 가르침이 절실합니다... 감사합니다..",지금 고려중이신 스펙도 발열량 자체가 많을 것 같은데요! 발열량이 적은 시스템으로 구성을 하신다면 견적 구성을 조금 더 낮추어주시는 것이 좋을 것 같습니다 ㅠㅠ || 13~14세대 i7 이상 CPU부터는 3열 수랭 쿨러 중에서도 최상급 모델로 무조건 구성해 주셔야 하는 부분이라 SFF 빌드에서는 발열 제어가 힘들 듯 보입니다..ㅠㅠ 단적인 게임용으로 구성하시려는 거라면 라이젠 구성 추천드립니다.
