작성일,커뮤니티명,질문 제목,질문 내용,답변 1,답변 2,답변 3,답변 4,답변 5
2021.05.11 작성,사람인-자소서,LEAN 직무에 대해서 알고 싶습니다.,LEAN직무에서 실제로 하는 업무나 필요한 역량을 알고싶습니다.,답변 없음,,,,
2021.05.10 작성,사람인-자소서,취업이 쉽지 않네요,"코로나도 코로나지만 그냥 제 자신이 모자라서 취업이 안 되는 거 같은 생각이 자꾸 들어요. 원래 미용하다가 안 맞아서 그만두고 사무직으로 이직할려고 했는데 고등학교도 실업기 나와서 뭐 할 줄 아는게 없으니 이력서 적는것도, 자소서 적는 것도 뭐하나 내세울 게 없어서 초라하고 내가 다 부족해서 이력서 넣어도 연락이 안 오는거 같고 부모님 볼 면목은 더 없어지고 오늘따라 정말 힘든 하루네요...",왜 실업계를 나와서 할줄아는게 없다고 생각하세요 저는 실업계를 나왔기때문에 대졸자보다 업무적응은 더 빠르게 했는데,요즘 상황이 너무 힘들고 지치게 만드는 것 같아요 ㅠㅠ 노력해도 이루어지는거 없고.... 그래도 함께 힘내서 잘 되셨으면 좋겠어요! 꼭 취업 하실거라고 응원하겠습니다!,끝이 안보이는 그마음 정말 잘알아요.. 제가 아는거는 국민내일배움카드 발급받고 저렴하게 학원다니면서 사무관련 여러가지 자격증 차근차근 따시고 틈틈이 자소서 박치기로 중소든 회사 지원해보셔요 면접 경험을 쌓고 긴장감 갖는것도 중요한것같아요 무엇보다 작성자님께서 직업을 바꾸신다니 그 시작부터 용기가 대단하시고 정말 멋지십니다!!,,
2021.05.07 작성,사람인-자소서,단순경력과 자기소개서,"다른 사람들 보다 늦은 나이에 취업을 준비하고 있습니다. 경력은 사무실 사무보조 아르바이트,일용직 근로와, 단기 알바, 공공근로로 단기로 일을 해 본 것이 전부입니다. 늦은 나이지만 이제서야 취업을 하려고 합니다. 문제는 이력서와 자기소개서 작성입니다. 경력이 이력서와 자기소개서에 쓸 만한 경력이 아니라서 어떻게 해야 할지 모르겠습니다. 경험을 구체화 해보라고 하는데 이제까지 한 일들이 단순 일밖에 없어서 쓸 말이 없습니다. 이런 저의 경험을 어떻게 써야 인사담당자에게 어필이 될까요. 생각하는 직무쪽은 작은 기업입니다. 단순 사무보조일이든 어떤 일이든 상관없습니다.","저도 늦은 나이에 취업했어요 :) 제 자리가 있긴 있더라구요 !! 걱정하지마시고, 올 해 꼭 취뽀하실겁니다^^ 우선, 무슨일이든 상관없습니다 그리고 다 잘할 수 있습니다. 라고 하기보다 원하는 기업의 공고에 맞는 직무 역량을 잘 준비해야할 것 같아요. 지원하는 직무에 대해서는 필수로 꼬옥 조사하시고 나의 경험에서 어느 부분이든 비슷한 부분을 찾아 준비하면 좋을 것 같습니다. 자기가 지금까지 해왔던 아르바이트, 알바, 교육 등을 먼저 잘 정리하고 매칭해보세요!",,,,
2021.05.07 작성,사람인-자소서,시작부터 막혀요,매번 경험하는 거지만 자소서 쓰려고 준비할때 시작부터 뭘 해야 할지 막막해서 매번 미루는 경향이 있는 것 같아요. 뼈대부터 뭘 해야 하는지 잘 알면 괜찮을거 같은데 뭐부터 해야 할까요?,"신입 : 인성, opinion, 성향, 기본 능력치 경력 : 인성, opinion, 성향, 기본 능력치 + 포트폴리오(경력내 실적) 위에 언급한 바와 같이, 지원하시는 직위에 따른 자소서 준비 또는 면접준비에 일부 다름이 있습니다. 자소서라는 것이 면접을 위한 도구로 사용되기에 면접준비나 다름 없을 것으로 보여집니다. 신입으로 지원하시는 것이라면, 채용자 입장에서 위 4가지를 가장 궁금해 합니다. 위 언급한 내용을 확인 하는 방법은 본인의 경우, 어휘구사력(올바른 단어 선택-지식,소양 파악), 언어이해력(질문에 맞는 답변), 언어전달력(정확한 문장을 통해 효과적으로 본인의사전달)등을 확인합니다. 하여, 자소서는 질문을 받기전에 서면으로 준비하는 면접이며, 면접은 자소서에 표현하기 힘든 내용 또는 내용진위 여부를 확인하는 과정입니다. 실질적 경험없이 잘 쓴 자소서를 참고하여, 작성한다면 면접에서 낭패를 보는 상황이 발생 할 수 있습니다. 추천드리는 방법은 다소 서툴지 모르나, 본인의 능력치 만큼 작성으로 하셔야 면접에서도 큰 문제가 없을 수 있습니다. 본인의 실적을 과장하여, 기술하거나 너무 많은 꾸밈이 있다면, 지원자님의 신뢰도가 떨어지며 서류전형에서 탈락할 가능성이 높습니다. 서론이 길었습니다. 우선 자소서는 지원자님의 능력껏 최대한의 성의를 보여주시는 것이 좋습니다. * 성의 : 지원자님의 각오 + 각오를 하게된 계기에 대한 설명(성장과정 또는 경험을 통한 이유등등) + 지원하는 회사에 대한 지식(최대한 조사를 통한 지원회사는 이러한 목적의 기업인데 내가 여기에서 어떤 인재가 되고 싶은 목표가 생겼다 등등) 이면 좋을 것 같습니다. 마직막으로 한번의 조언으로 완벽해질 수는 없을 것입니다. 처음은 서툴지만, 면접도 경험인지라 최대한 많은 회사에 자소서를 제출하시고 면접을 보시고 하시다보면 최고의 공부가 될 것입니다.",저는 항상 제가 쓸만한..? 그런 내용을 쭈욱 나열해보고 그 회사랑 어울리는 스펙을 썻어요!! 자기가 뭘했는지 알지 못하면 어필하기도 어렵더라구욤~~!,,,
2021.05.06 작성,사람인-자소서,이직과 자기소개서,고등학교 졸업전에 먼저 취업을 나왔는데 회사의 문제점들이 많아 이직을 준비하였고 다음주 토요일이면 화상면접입니다 문항은 4가지고 4번 문항이 '마지막 하고 싶은 말'인데 생각을 해봐도 어떤 말을 하면 좋을 지 잘 모르겠습니다. 답변자 선생님들은 어떤 말을 하셨는지 어떤 말을 하면 좋을지 도와주시면 감사하겠습니다,보통 회사에 궁금한점 질문 하시면 되요. 연봉은 어떤지? 복지는 어떤지? 등등... 모집공고에 올라오지않은데 궁금한것들 하시고 마지막에 '바쁘신데 면접 보느라 시간내주셔서 감사합니다'고 해주시면 될듯합니다,,,,
2021.05.01 작성,사람인-자소서,병원코디네이터,한의원 지원할려는데 지원동기를 뭐라 써야될까요ㅠㅠㅠ,저는 경험담위주로 작성했어용!,,,,
2021.04.30 작성,사람인-자소서,자소서 = 소통,자소서 어렵지요 ㅜㅜ 어떻게 보면 서면으로 하는 소통인지라 소박하고 단순할지라도 면접관의 질문에 나의 스토리를 즉시 답변할 수 있도록 말하듯이 풀어낸다는거 쉽지 않았습니다. 방법도 다양하고 길도 다양 하듯이 맞는길이 언젠가는 열리기를 기원합니다. 나에게 나를 소개하는 자소서 써보기를 해보니 이력서 자소서 쓰기보다 더 난감하고 한줄쓰기도 힘들어 울음이 터진 적도 있었지만 나를 꾸미려 할수록 자소설이 되어 부끄럽구나 이러면 안되겠구나 느끼며 망치로 머리를 맞은 느낌에 멍하기도 여러번... 나를 소개하는 서류도 소통이었구나 하는걸 알게된 후 조금식이지만 실마리가 보여 한발 더 나갈수 있을거 같습니다.,답변 없음,,,,
2021.04.30 작성,사람인-자소서,이미 이력서를 냈는데 자소서를 조금 수정해서 다시 제출하고 싶습니다.,안녕하세요! 자소서를 계속 고쳐서 보완해 문항을 몇 개 더 넣었는데 이미 이력서를 낸 곳 중 꼭 면접을 보고 싶은 곳이 있습니다. 그래서 고친 이력서를 다시 제출하는 게 더 유리할 것 같은데 다시 제출할까요? 아니면 그냥 기다려 볼까요?,답변 없음,,,,
2021.04.30 작성,사람인-자소서,이게 뮤슨말인지 잘 모르겠어요,"작성요령 : 자신의 지식?경험?경력 등과 응시직위와의 관련성을 중심으로 응시직위에 대한 소견, 응시취지, 직무수행 방향 및 비전 등을 간단하게 기재하여 주십시오. 자소서 쓰는데 어떻게 써야하는건가요..",답변 없음,,,,
2021.04.29 작성,사람인-자소서,사람인 이력서 제출하라는 거,자소서 적은것도 포함이죠?,기본적으로 기업 이력서에는 자기소개가 포함되어있으니 포함하시는게 좋겠죠!,,,,
2021.04.29 작성,사람인-자소서,제주 jw메리어트 지원하신분,12월에 오픈예정인 jw메리어트 호텔 지원하신 분들 계시다면 조언 부탁드립니다 호텔 조리 지원하려고 하는데 지금 공고가 떴더라구요 자소서를 열심히 적는중인데 혹시 합격하신분 있으시면 꿀팁 부탁드려요:),지원하셨나요?,,,,
2021.04.29 작성,사람인-자소서,자소서 고수님들이요 부탁드려요!!!,자소서 항목에 OA프로그램 작성하라고 하는데 거기에 office프로그램 말고 회계프로그램도 작성해도 되나요!!?,답변 없음,,,,
2021.04.26 작성,사람인-자소서,이직...자소서...,첫 입사지원 할 때는.. 대학교에서 같이 자소서 작성한거라 깔끔하고 정갈하게 작성이 되어있는 반면에.. 이제 경력이 어느정도 차니 대학교 때 작성했던 아르바이트 경험이나 이런건 다 지우는게 나을거 같은데 새로 작성하자니 머리가 굉장히 아프네요... 경력이 경리인데 어떤식으로 작성해야할까요ㅠㅠ,"안녕하세요 커리어캐쳐 김미진 컨설턴트입니다. 입사 지원 시, 경력자이시라면, 말씀해주신 것처럼 현장에서의 경험을 위주로 작성해주시는 것이 좋습니다. 이미 업무 경험이 있는 지원자기에, 충분히 서류나 면접에서 업무 수행 태도나 능력, 성과 등의 검증이 가능하기 때문이죠. 저희가 경력자를 채용하는 이유이기도 하구요. 자소서를 작성하시는 것이 어려우시다면, 경력기술서를 먼저 써보세요. 재직 기간동안 내가 맡았던 업무들이 무엇이었는지 먼저 정리해보시구요. 세부적으로 그 역할, 성과, 활용 프로그램이나 스킬 등을 써보세요. 기억에 남는 경험들이 있으시다면 역시나 함께 정리해보시구요. 경력기술서를 다 작성하셨다면, 그 경력들을 통해 보여질 수 있는 나의 강점 키워드를 뽑아보세요. 그리고 자소서에 키워드-경험으로 연결지으시는거에요. 이직이라는 것, 역시나 골치아픈 일이죠.... 자소서 때문에.. 그리고 면접 때문에... ㅠ 직장 생활을 해보셔서 아시겠지만, 그 두가지를 잘 해내셔야 지금보다 더 좋은 환경으로 떠나실 수 있습니다! 경리 업무, 그리고 사무 업무, 총무 업무 등으로 분류하셔서 정리하셔도 좋을 듯 하네요. 어서 시작하세요!!!!!!!!",저는 성격장단점이랑 입사후포부 빼고는 새로다 작성했어요 경리더라두 사무도 하고 경리도 하고 이런대가 많아서 경리업무를 하며 배운 00 이라거나 00회사에서 배운 사무or행정 이런식으로 수정했구여 아르바이트경험이라도 자소서에 녹일수있으면 그대로 써도될것 같아요 저도 졸업한지 10년다되가는데 ㅎㅎ 이번에 대학교 논문쓸때 애기 그대로 재탕중입니다 ㅎㅎ,,,
2021.04.22 작성,사람인-자소서,2개월 된 신입사원 입니다.,"이번에 안전보건공단, 가스안전공사 채용이 열려서 지원해보려고 하는데 자소서나 면접 때 현 직장이야기를 써도 될까요?",겨우 2개월 근무하고 이직한다고 하면 어떤 회사도 채용안함..채용하면 또 2개월근무하고 이직생각 할테니까..,써도됨,,,
2021.04.20 작성,사람인-자소서,이력서 열람 안하는거,사람인 지원할 때 이력서 열람도 안하는건 왜인건가요??,답변 없음,,,,
2021.04.19 작성,사람인-자소서,이건 자소서가 필요없는건가요 ?,제가 지원하려는 계약직 채용 공고에 이력서 양식 : 사람인 온라인 이력서 이렇게 나와있고 제출서류란에도 자소서 언급은 없는데 이력서만 제출하면 되는건가여 ..?,"안녕하세요 커리어캐쳐 김미진 컨설턴트입니다. 기업에서 채용을 할 때에는 기본적으로 이력서, 자기소개서가 입사서류로 분류되어 제출하게 되어있습니다. 통상적으로 계약직이셔도 자소서를 작성해서 제출하심이 맞을 듯 합니다. 사람인 온라인 이력서에 자소서 부분을 채워서 제출하시는 것이 좋을 듯 합니다. 물론 간단한 직무의 경우에는 자소서를 제출하지 않는 경우도 가끔 있으니, 확실하게 확인하시려면, 채용담당자에게 연락을 해보시는 것도 좋은 방법일 듯 하구요. 취업을 준비하고 계시니, 대부분의 기업의 경우, 자소서를 제출하고 있습니다. 직무 역량과 관련 경험 등을 정리하셔서 미리 준비해두시면 좋을 듯 합니다.",,,,
2021.04.19 작성,사람인-자소서,자소서 기타하고픈말 항목,보통 어떤 말을 써야 적합할까요 적절하게 할말이 뭐가 좋을지 고민됩니당..,답변 없음,,,,
2021.04.17 작성,사람인-자소서,반도체 설비관리 직무와 공무 직무는 아예 다른 일은 하나요?,답변부탁드리겠습니다,다릅니다 공무팀은 시설에 종합적인 가동이 목적이고 설비관리는 설비의 가동이 목적이니 제품 불량 설비 비가동에 초점이 있음,,,,
2021.04.14 작성,사람인-자소서,자소서를 회사마다 다르게 쓰는게 좋을까요?,"계속 지원 중인데, 연락 오는곳이 진짜 없어서 지칩니다.. 하나하나 다르게 쓰는것도 너무 힘들구요. 그냥 무난한거 하나 해서 여러군데에 넣는거 어떨까 합니다. 여러분 생각은 어떠신가요",인력을 필요로 하는 회사가 어떤 인력이 필요한지 구체적으로 알리지 않는데...굳이..뭘..어떻게?...전 자소서 그냥 제가 원하는거 씁니다 그래도 연락은 많이 옵니다,지원 목적등을 다르게 써서 넣는것을 추천 드립니다 각회사마다 하는일이 다를테니까요,성장배경 같이 공통적인건 나두고 경력직이면 회사가 필요로 하는 부분이 맞추어 경력쓰고 신입이면 지원동기나 포부만 회사에 맞기 손보 세요 잘난 사람 뽑는게 아니고 회사에서 일할 사람 뽑는겁니다.,전쟁때 10만발의 총알을 쏴야 1명의 적군을 사살할 수 있다고합니다. 기본 구성을 만들어놓고 지원할 회사의 특성에 맞춰 수정하고 지원하는 방식으로 지원하세요. 회사의 특정 질문이 있는 경우 빼고 사람인에서 지원하는 기업은 거의 자유형식의 자소서입니다. 마음을 차분히하시고 길게보신다는 생각으로 매일 몇곳이상 무조건 지원하겠다는 목표를 세우시고 그냥 막 넣으세요. 연락오고나서 면접 갈지 안갈지 생각해도 안늦습니다. 오히려 면접을 봐도 좋습니다. 훈련이라고 생각하세요. 면접의 기회도 흔치않습니다. 맘에 드는 회사든 안드는 회사든 붙어야 선택권이 취업자에게 생기는겁니다. 이렇게 하면 하루에 1~2시간이면 매일 5곳 이상 쓸 수 있습니다. 내가 지원할 업체가 없어서 못넣습니다. 그러면 무조건 면접제의는 한두곳에서 옵니다. 하루 왠종일 회사 찾고 스크랩하고 이력서 쓰고 하지마세요. 화이팅하세요,원하는 분야가 있으면 그쪽 분야에 대한 경험이나 혹은 자신이 하고싶은것 등 회사에서 원하는 니즈를 충족시켜야 하겠죵 무난한 회사를 가게되면 본인의 경력도 무난해지지 않을까요
2021.04.12 작성,사람인-자소서,29살 뚜렷하게 뭐 하나 없는데,재수해서 수도권 기계과 출신에 휴학해서 1년 쉬고 공기업 준비한다고 1년 쉬고 공기업은 필기를 못 뚫어서 이제 그만 놓아주려 하는데 나이가 드니 집에서도 눈치가 보여서 이제 사기업도 알아보고 있긴한데 서류 뚫기가 정말 힘드네요 인턴도 못해보고 수상한것도 없고 자소서 쓸만한 내용도 없으니 우울하고 자존감만 너무 떨어져요 그냥 아무 기업이나 들어가서 이직 준비를 해야될까요? 아니면 그래도 조금이라도 더 해보고 탄탄한 기업에 들어가는게 나을까요,저같은경우 지방대 출신이고 스펙도 별로였습니다. 하지만 누구나다그렇듯 큰회사 좋은회사에 취직하고싶었죠 그래서 일단 냉정하게 내 현시점수준을 파악하고 작은회사에들어가서 경력 및 스펙을 준비하고 좀더큰회사로 이직하는것을 목표하였습니다. 그렇게 중소기업 3년을 다니고 최근 이직에 성공하였습니다. 학벌스펙 물론 중요하지만 정말 탑클래스 정도의 수준이아니면 냉정하게 나의 수준을 인정하고 눈을좀낮추고 경력을 쌓는것을 추천드립다. 학벌스펙이안되면 경력사항 말고는 대체할것이없습니다,,,,
2021.04.06 작성,사람인-자소서,자소서쓰기,"취업을 준비하는 데 자소서를 어떻게 써야 할지 막막합니다. 저는 소심한 성격에 뭔가 잘 한다고 내새울 것이 없는 것 같아요. 그래서 그런지 자소서를 쓰려고 할 때마다 제가 너무 작게 느껴집니다. 직장에서 필요로 하는 성격과는 거리가 있는 것 같다는 생각에 저의 장점이 하나도 없다고 느껴집니다. 적극적이고 활발한 성격도 아니고 관련된 경험이 있는 것도 아니고.... 그냥 자격증 하나만 있는 것 같아요. 이렇게 자소서 하나 제대로 준비하지 못하니 취업준비 시작부터 두려워집니다. 중, 고등학교 때에는 그래도 선생님들께 성실하고 신뢰 있는 학생이었는데, 그런 내용을 적어도 될까요?","같은 취준생이고, 저 또한 자소서를 계속 쓰고 있다보니 공감이 크게 갑니다. 취업 설명회나 컨설턴트분들 코칭하시는 걸 들어보면 최근 경험을 활용하는게 좋다고 하더라구요. 일 경험이 없더라도 학교 다니면서 팀 과제나 장학근로, 봉사 등 학교 활동도 좋을 것 같구요. 꼭 팀이나 단체로 한 게 아니더라도 개인 역량을 키우거나 취미로 꾸준히 한 활동이 있다면 그걸 활용할 수도 있지 않을까 싶습니다. 질문자님이 학창시절에 착하고 인성이 바른 학생이셨을 것 같은데요, 다른 친구들보다 선생님들에게 더 인정을 받았던 일이나 눈에 든 일이 있다면 그런 소소한 경험을 성장과정이나 강점 항목에 넣으면 좋을 듯 합니다. 처음이 가장 힘들다고, 저도 맨 처음 자소서 쓸 게 없어서 힘들었는데요. 그래도 꾸역꾸역 쓰다보니 자료도 쌓이고 나만의 자주 쓰는 문장이나 단어도 생기더라구요. 하루에 한 단어, 한 문장, 한 문단씩 늘려가면서 조금씩 쓰면서 고치고 하다보면 자기만의 노하우도 생기지 않을까 싶습니다. 저도 자소서 쓰다가 지금 게으름 피우고 있는데, 같이 열심히 써봐요!",,,,
2021.04.06 작성,사람인-자소서,사람인 이력서 제출할 때,자소서 포함한 이력서로 제출하시나요? 이력서 넣는 것 자체가 처음이라 어떻게 해야 할지 모르겠네요... 자소서 없이 그냥 이력서만 넣어서 붙으신 분 계신가요??,"안녕하세요 커리어캐쳐 김미진 컨설턴트입니다.!! 취업 준비를 막 시작하신 취린이시군요 ^^* 하나하나 천천히 알아가시면 되지요~ 아르바이트를 제외하고, 대부분의 기업은 이력서+자기소개서를 받습니다. 기업에서 채용 시 보관하는 입사 서류가 기초심사서류라고 해서 이력서 자기소개서를 말하죠. 추가적으로 학위증명서, 경력증명서, 자격증명서 등 기초심사자료에 기재한 사항을 증명하는 모든 자료를 채용 시 함께 받고 있습니다. 작성자님께서 앞으로 작성하셔야 하는 서류는 나의 기본정보/학력사항/자격사항/경험/경력 등이 기재되어있는 이력서와 지원자의 역량을 확인할 수 있는 서술형 서류인 자기소개서입니다. (물론 공공기관의 경우, 입사지원서 양식이 조금 다를 수 있으나.. 마찬가지로 이력서와 자기소개서를 모두 요구하는 경우가 많습니다. 경력직 예외일 수 있음) 지원분야에 맞는 내용 구성을 통해 꼭 원하는 기업에 합격하시길 응원하겠습니다 ^^",그냥 세트라고 생각하시고 같이 넣으세요 면접보시기 전에 자소서 내용 한번 확인하고 가시구요,동시 제출로 알고있습니다!,보통 어디든 지원하실 때 이력서 자소서는 기본 제출이에요. 이것 말고는 졸업증명서나 자격증사본등은 제출 요청란에 기재 해놓으니 보고 제춯하시면 됩니다,이력서 제출할때 자기소개서 같이 제출해욤~
2021.04.05 작성,사람인-자소서,다른직종 이직시 자소서 (퇴사사유),"반도체 회사에서 생산직 일을 하다가 웹디자인 쪽으로 가는 경우인데요 이직시 자소서에 퇴사사유나 옮긴 이유? 어떻게 쓰면 될까요 너무 다른 직종이기도 하고 연관이 없어서 어찌할 바 모르겠네요 갑자기 웹디로 생각한 이유는 단지 관심과 배우다보니까 매력을 느낀 거뿐입니다ㅜ 퇴사사유는 뒷담,3교대 업무, 불합당한 대우 등등 다참아왔지만 마지막에 제가 아픈적이있었는데 진짜 죽을거같이 아파도 새벽근무라 나와서 겨우겨우 할일하고있는데 그게맘에안들었는지 대놓고 일하는 꼬라지 보라고 앞담을 여럿과 까는 모습을보고 진짜 2년간의 쌓인 사람들과의 정도, 2년간의 참아온 수고도 모두 무너지는거 같았습니다 여태 아무말 안하고 참아오다가 몸도힘들지만 같이일하는 사람때문에 힘들어서 퇴사하고싶다고 상담도 드려봤지만 너가 빠지면 일이 더 힘들다고 제 걱정은 커녕 업무걱정을 하는모습조차 마지막희망을 놔버려서 갑자기 퇴사한 경우인데 이런 경우 퇴사사유를 어떤식으로 적어야될지 막막하네요.. (갑자기 길어졌지만 설명을 해야될거같아서..!) 도와주세요",이직해서 갈 회사에다가 뭐라고 대답할지를 궁금해하시는거 같아보여요. 회사 내의 불합리함이나 전 회사욕 이런건 별로 좋지 않습니다. 발전을 위한 기회 혹은 적성을 잘 찾게되었다 정도가 괜찮을거같네요.,저도 아예 직종 옮겨는데 그때 이업무가 매력적이라고만 어필하고 면접가니까 물어보더라구용 퇴사사유를 ~~ 그때 그냥 지금업무보단 본인에게 맞는 업무를 하고 싶다고 했어요! 저는 퇴사사유가 뒷담이런건 아니고 업무가 너무 힘들었구요. 그냥 그런거 말할필요 없이 배우다보니까 잘 맞고 잘할 수 있을 것 같고 즐겁게 일할 수 있을 것 같다 이런거 말하면 될듯해욧,"여러번 면접을 봤었지만 개인사정으로 적어두면 그 이유가 회사에 있더라도 지원자의 체력이나 사내 적응력? 정도로 치부하게 되더라구요,아무리 개인적인 힘듦이 있더라도 경영 악화로 적고 지원자분을 어쩔 수 없이 그만두게 만든 타의적 환경 요소로 풀면 어떨까요? 예를 들어 경영 악화나 구조조정 같은..",,
2021.04.01 작성,사람인-자소서,지원동기 쓰기 진짜 귀찮아요,돈벌라고 지원한거지 뭐...,"안녕하세요 커리어캐쳐 김미진 컨설턴트입니다!! 자소서 쓰기 어려우시죠 ㅠㅠ 기업마다 다양한 항목으로 자소서가 구성되어있다보니, 지원자분들께서 더욱더 어려움을 겪고 계신 것 같습니다. 자소서에서 지원동기의 항목은 기업의 입장에서 생각해보자면, 입사 후 퇴사하는 직원이 많다보니,, 정말 우리 회사에서 오랫 동안 근무할 생각을 가지고 있는가...를 확인하고자 함이 크다고 보시면 됩니다. 입사 후 1년 이내 퇴사하는 직원의 비율이 30% 정도나 된다고 하니 기업에서는 좀더 명확한 지원동기를 가지고 있는 지원자를 채용하려고 하는거죠. 이렇게 생각하시면 될 것 같아요. 돈을 벌 수 있는 곳은 많은텐데, 그 중에서도 왜 우리 회사인가??? 이걸 확인하고 싶어한다.. 내가 지원하는 기업이 어떤 일을 하는 곳이고, 그 곳에서 내가 할 수 있는 일이 무엇인지 알고 지원하는 사람인가, 그리고 그 안에서 성과를 내줄 수 있는 사람인가...에 대한 고민이 담긴 질문이라고 생각해주세요 ^^* 왜 지원했느냐..라고 물으면, 잘 할 수 있어서 지원했다! 의 느낌으로 써보시는 건 어떨까요? 너희 회사가 ~한 사업을 해나가고 있는 기업이고, 나는 그 일을 잘할 수 있는 준비가 되어있는 사람이다. 그래서 지원했다! 의 느낌.. 글로 표현하는 것이 쉽지는 않을 수 있으나, 한번 틀을 잡아놓으신다면, 이후 다른 기업에 지원동기를 쓰실 때에는 좀더 수월해지실거예요. 화이팅입니다!!",기분 이해해 드립니다. 화이팅 하세요. 그리고 열심히 하세요.,하... 정말 공감을 1000000개 누르고 싶네요... 다들 돈벌려고 직장다니는 건데 참...ㅠ 우리 진짜 힘내봐요!!! 잘 풀리는 날이 오겠죠?,맞아요..지원동기가 뭐필요한가요.. 먹고살라고 지원하는거지..좀 다들 솔직해졌으면..,"글잘쓰는 사람은 면접으로 인성을 보는데 요즘은 말도,연기도 잘해서 면접관들도 인성이 좋은사람 진짜 직장을 위해 최선을 다하는 사람 찾기가 그래서요 각박한세상 이래도 사기성이 널려있어서 사람 믿어야함에 의심을 안할수가 없으니 면접관들도 개인 인성향에 의해 뽑으니 어쩔수없지요 항상 홧팅하고 삽시다"
2021.03.27 작성,사람인-자소서,중고등학생 입시학원 자소서,"중고등학생 입시학원 지원해보려고 하는데 토익,토익스피킹 점수 외에 경력은 교육봉사활동이랑 과외 경험이 있는데 자소서 어떻게 쓰면 좋을까요ㅠㅠ 시강 말고도 자소서가 중요한 역할을 하나요?",답변 없음,,,,
2021.03.25 작성,사람인-자소서,취업 준비에 도움이 정말 많이 필요한 취린이(경영지원 / 인사 / 경영학과 학생 취준),"안녕하세요. 먼저 긴 글 읽어주셔서 감사합니다. 저는 현재 27, 졸업 예정인 경기도 4년제 경영학과 학생입니다.(학점 3.74/4.5) 인사쪽 취업을 목표로 하여 취준을 하고 있습니다. 현재 취득한 자격증은 토익 880점, 한능검 고급, 컴활1급, 회계원리2급, 전산회계 2급이고 그동안 교내 활동을 위주로 하였었습니다. 교내 활동으로는 총학생회 팀장 활동, 멘토링 활동, 교내 커뮤니티 및 마켓 기획과 운영, 과내 자격증 동아리 부장 활동, 학술제 수상 등이 있습니다. 이외에도 여름 방학에 해외 인턴십 프로그램에 참가하여 2달간 미국 LA 에 있는 CJ America에서 잠깐 근무 하였고 겨울 방학에는 판교에 있는 차케어스 경영지원팀에서 경영지원 및 인사노무 업무(신입사원 OT 교육 자료 제작, 재증명서 기안 작성 및 날인, 월간노사와 HR기사의 내용 정리, 연말정산) 등을 했었습니다. 지금까지는 공모전 입상, 해외 봉사 등의 대외활동을 제외하고는 나름 열심히 그 순간들을 잘 살아왔다고 생각했습니다. 하지만 막상 취준을 하려고 하니 어떤 기업들을 지원을 해야는 것인지(인사, 경영 지원 업무는 회사마다 다 있기에 자동차 - 현대차, 영화 - cj 이런 식으로 분야를 못 정하겠습니다..) 고민이 많습니다.... 취준을 위한 자소서도 아직 써본 적이 없어서 막막합니다. 기업마다 기본적이고 공통적인 자소서 항목,양식들이 있는 것인지, 있다면 그것들을 먼저 준비해보고 이제 주요 목표 기업마다의 개별 자소서를 따로 준비해야는 것인지,,, 먼저 취준을 하고 계신 선배님들, 현직에 계신 여러 선배님들 도움 부탁드립니다....","인사는 신입 뽑는 T.O.가 많지 않습니다. 그러니 업종으로 고르면 막상 지원할 회사가 몇 개 안남을거에요. 대기업/중견기업은 자사 양식과 지원 시스템이 다 각각이라 그것 쓰고 고민하는데에도 시간이 한참 걸립니다. 그리고 지금 코로나 때문에 공채가 얼마나 열릴지도 모르는 상황이라, 개별 자소서를 미리 준비하시는 것도 좋은 방법이 아닐 수도 있습니다. 그러니 미리 자소서에 쓸만한 에피소드를 5~10가지 정도는 뽑아두시고 2문단 씩이라도 작성해두실 것을 추천 드립니다. 경험이 많아 소재는 이미 충분하셔서 잘 하실 수 있을 것 같아요! 일주일에 한번씩 사람인 방문하셔서 공채 소식이랑 신입 뽑는 기업 공고 쭉 둘러보시고, 마음에 드는 곳 있으면 수시로 지원 준비하시길 바랍니다. 지금 아주 잘하고 계시니 기운내세요!!",직무만 인사쪽이면 되는거라면 자동차-현대차 이런식으로 정할 필요가 없을 것 같아요 그냥 인사업무 공고가 있는 기업들 다 지원해보세요!!! 그리고 대기업같은 경우는 자소서 항목이 정해진 경우가 많아요 없는 기업들은 개별 자소서를 회사에 맞춰서 쓰면 됩니당,원하시는 기업이 없다면 질문자님과 가장 잘 맞을 것이라고 예상되는 곳에 지원해 보시는 건 어떨까요? 공고만 봐도 느낌 좋은 회사들이 있더라고요! 자소서도 쓰면 쓸수록 실력이 늘어나기에 몇 번 써보시면 도움이 될 겁니다!,,
2021.03.25 작성,사람인-자소서,회로 개발 직무 지원할때 자소서 자격증,지금 제 자격증이라고는 한국사 컴활2급 토익700 네트워크관리사2급 전기기사 필기 이렇게 있는데요 회로 쪽이니까 네트워크관리사는 그냥 안쓰는게 나을까요? 아니면 그냥 쓰기라도 해야하나요? 이 직무에 맞는 자격증이 더 필요하다면 뭐가 있나요?,저라면 그냥 넣어둘 것 같아요! 이런 분야도 관심 있어서 자격증 취득한 적이 있어요! 하고,,,,
